CODIGO_ACTIVIDAD,ANIO,MES,ENTIDAD,K100W,M000W,H000W_I000W,REMUNERACION_MEDIA,J000W,ESTATUS
43,2008,	08,Hidalgo,96.02764235,107.60357661,91.35088511,101.33564074,92.57100475,Cifras definitivas
43,2008,	08,Jalisco,86.59944147,91.12020400,83.63242255,96.36364486,80.59125065,Cifras definitivas
43,2008,	08,México,78.29756982,82.03633127,83.15567067,97.83289322,81.35359849,Cifras definitivas
43,2008,	08,Michoacán de Ocampo,92.34622144,99.98071549,87.88941133,99.74734020,87.66735012,Cifras definitivas
43,2008,	08,Morelos,91.40099158,97.78458113,97.82219363,85.92173877,84.05052967,Cifras definitivas
43,2008,	08,Nayarit,107.23943167,100.66431504,90.58342059,90.93637388,82.37327802,Cifras definitivas
43,2008,	08,Nuevo León,92.87222571,94.89659261,91.22893815,91.77724990,83.72741055,Cifras definitivas
43,2008,	08,Oaxaca,96.99189199,105.17204140,87.17862311,93.55624399,81.56104534,Cifras definitivas
43,2008,	08,Puebla,96.38401864,91.70220738,67.60523168,95.10175138,64.29375935,Cifras definitivas
43,2008,	08,Querétaro de Arteaga,73.43069006,78.91768758,76.03517058,79.17140959,60.19811633,Cifras definitivas
43,2008,	08,Quintana Roo,114.57971498,100.78355024,95.34336295,91.15777935,86.91289242,Cifras definitivas
43,2008,	08,San Luis Potosí,87.18093750,94.42721606,89.50243855,90.69845160,81.17732591,Cifras definitivas
43,2008,	08,Sinaloa,81.05757257,84.66761201,84.05192978,93.29913329,78.41972200,Cifras definitivas
43,2008,	08,Sonora,99.02356975,90.95514549,82.08046662,93.89276125,77.06761656,Cifras definitivas
43,2008,	08,Tabasco,94.69863488,84.73999685,85.23003628,104.26481086,88.86493612,Cifras definitivas
43,2008,	08,Tamaulipas,104.29173661,100.55197525,87.84124302,99.76012060,87.63052997,Cifras definitivas
43,2008,	08,Tlaxcala,108.14022362,106.10220538,88.77393710,79.36152734,70.45235236,Cifras definitivas
43,2008,	08,Veracruz de Ignacio de la Llave,104.12125679,104.23609941,92.90351361,96.80230506,89.93274266,Cifras definitivas
